date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:29	97087/97087	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jun%202021%2022:47:38%20GMT	https://subindoscore7dias.com/scoreem7dias67/	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/scoreem7dias67/index.html	(from )
22:03:29	122/122	---MC-	200	added ('OK')	text/plain	date:Thu,%2001%20Jul%202021%2001:03:29%20GMT	https://subindoscore7dias.com/robots.txt		(from )
22:03:33	185005/185005	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2021:44:06%20GMT	http://subindoscore7dias.com/wp-content/cache/wpfc-minified/6j93pc91/dqety.css	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/cache/wpfc-minified/6j93pc91/dqety.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:33	1663/1663	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2021:44:06%20GMT	http://subindoscore7dias.com/wp-content/cache/wpfc-minified/2cozfct/dqety.css	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/cache/wpfc-minified/2cozfct/dqety.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:35	157666/157666	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2021:44:06%20GMT	http://subindoscore7dias.com/wp-content/cache/wpfc-minified/1qfjunwo/dqety.css	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/cache/wpfc-minified/1qfjunwo/dqety.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:35	946/946	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jun%202021%2005:35:14%20GMT	https://subindoscore7dias.com/wp-content/uploads/elementor/css/post-9.css?ver=1624253714	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/uploads/elementor/css/post-92250.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:38	279309/279309	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2021:44:06%20GMT	http://subindoscore7dias.com/wp-content/cache/wpfc-minified/e4uiyerp/dqety.css	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/cache/wpfc-minified/e4uiyerp/dqety.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:40	549/549	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2021:44:06%20GMT	http://subindoscore7dias.com/wp-content/cache/wpfc-minified/g1a9x51/dqety.css	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/cache/wpfc-minified/g1a9x51/dqety.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:40	67741/67741	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Jun%202021%2006:03:47%20GMT	https://subindoscore7dias.com/wp-content/uploads/elementor/css/post-2139.css?ver=1624255427	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/uploads/elementor/css/post-2139d7aa.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:41	58653/58653	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Jun%202021%2021:44:06%20GMT	http://subindoscore7dias.com/wp-content/cache/wpfc-minified/e3gtzlud/dqety.css	C:/My%20Web%20Sites/dawdwadwawda/subindoscore7dias.com/wp-content/cache/wpfc-minified/e3gtzlud/dqety.css	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:42	1750/1750	---M--	200	added ('OK')	image/png	etag:%22bdc657f159b99994%22	http://i2.wp.com/subindoscore7dias.com/wp-content/uploads/2021/02/cropped-123-1-32x32.png	C:/My%20Web%20Sites/dawdwadwawda/i2.wp.com/subindoscore7dias.com/wp-content/uploads/2021/02/cropped-123-1-32x32.png	(from https://subindoscore7dias.com/scoreem7dias67/)
22:03:50	49056/49056	---M--	200	added ('OK')	image/png	etag:%22803d689b88b9139c%22	http://i2.wp.com/subindoscore7dias.com/wp-content/uploads/2021/02/cropped-123-1-192x192.png	C:/My%20Web%20Sites/dawdwadwawda/i2.wp.com/subindoscore7dias.com/wp-content/uploads/2021/02/cropped-123-1-192x192.png	(from https://subindoscore7dias.com/scoreem7dias67/)
